運行,発時(計),系統,行先,摘要
平日,16:52,松81,日大歯科病院,3
平日,17:00,松81,日大歯科病院,3
休日,17:00,松81,日大歯科病院,3
土曜,17:02,松81,日大歯科病院,3
平日,17:07,松73,南流山駅,2
平日,17:15,松81,日大歯科病院,3
土曜,17:16,松81,日大歯科病院,3
休日,17:16,松81,日大歯科病院,3
平日,17:25,松73,南流山駅,2
平日,17:26,松81,日大歯科病院,3
土曜,17:32,松81,日大歯科病院,3
休日,17:32,松81,日大歯科病院,3
平日,17:38,松81,日大歯科病院,3
土曜,17:48,松81,日大歯科病院,3
休日,17:48,松81,日大歯科病院,3
平日,17:50,松81,日大歯科病院,3
平日,17:54,松73,江戸川台駅,2
平日,18:03,松81,日大歯科病院,3
平日,18:06,松73,南流山駅,16
土曜,18:06,松81,日大歯科病院,3
休日,18:06,松81,日大歯科病院,3
平日,18:15,松81,日大歯科病院,3
土曜,18:24,松81,日大歯科病院,3
休日,18:24,松81,日大歯科病院,3
平日,18:26,松81,日大歯科病院,3
平日,18:34,松73,南流山駅,15
平日,18:38,松81,日大歯科病院,3
土曜,18:42,松81,日大歯科病院,3
休日,18:42,松81,日大歯科病院,3
平日,18:50,松81,日大歯科病院,3
平日,19:00,松81,日大歯科病院,3
土曜,19:00,松81,日大歯科病院,3
休日,19:00,松81,日大歯科病院,3
平日,19:13,松81,日大歯科病院,3
土曜,19:20,松81,日大歯科病院,3
休日,19:20,松81,日大歯科病院,3
平日,19:24,松81,日大歯科病院,3
平日,19:36,松81,日大歯科病院,3
土曜,19:40,松81,日大歯科病院,3
休日,19:40,松81,日大歯科病院,3
平日,19:51,松81,日大歯科病院,3
土曜,20:05,松81,日大歯科病院,3
休日,20:05,松81,日大歯科病院,3
平日,20:06,松81,日大歯科病院,3
平日,20:19,松81,日大歯科病院,3
土曜,20:30,松81,日大歯科病院,3
休日,20:30,松81,日大歯科病院,3
土曜,20:34,松73,日大歯科病院,3
休日,20:34,松73,日大歯科病院,3
平日,20:39,松81,日大歯科病院,3
平日,20:52,松73,日大歯科病院,3
土曜,20:55,松81,日大歯科病院,3
休日,20:55,松81,日大歯科病院,3
平日,20:59,松81,日大歯科病院,3
土曜,21:10,松73,日大歯科病院,11
休日,21:10,松73,日大歯科病院,11
土曜,21:20,松81,日大歯科病院,10
休日,21:20,松81,日大歯科病院,10
平日,21:23,松81,日大歯科病院,3
平日,21:45,松81,日大歯科病院,3
平日,22:02,松81,日大歯科病院,3
平日,22:25,松81,日大歯科病院,11
平日,22:44,松81,日大歯科病院,10
